Time,Qbor_pos_first_year,Qbor_pos_avg_20_years
2750400,1680.987671,2940.11929335
2754000,1155.328247,2738.48891605
2757600,872.8175049,2576.812521445
2761200,1129.480225,2162.8312499999997
2764800,1659.206787,1949.3925659000001
2768400,1016.139343,1656.01435853
2772000,709.2420654,1339.38931884
2775600,551.0413208,1275.5996047
2779200,637.9512329,1730.8722625450002
2782800,2606.200195,2970.4490479
2786400,3437.027588,3316.3136352
2790000,3830.800049,3335.3554077500003
2793600,4045.399658,3353.6233765000006
2797200,4172.584961,3341.2922607
2800800,4250.043945,3318.80173345
2804400,4298.01123,3305.3752076000005
2808000,4328.26416,3278.4591553
2811600,4346.809082,3280.3520263
2815200,4323.259766,3184.49683845
2818800,3322.330811,3043.5223939999996
2822400,2020.888428,2884.8633545000002
2826000,1385.294312,2792.04202265
2829600,2902.093262,2857.366687
2833200,3255.337158,3049.8476928
2836800,3181.581055,3279.87498775
2840400,1874.807373,2813.8587036
2844000,1236.540894,1703.6053040000002
2847600,906.9458618,1153.98814088
2851200,707.3178711,858.77334897
